,title,a-,b-,tau-,a+,b+,tau+
13,宋楚瑜,102.71276124782652,1.9141254413782005e-07,30.571082877889623,549.469206109068,8.346118222388826,0.7484679991436187
21,蔡英文,385.5849691272521,63.12088810585421,1.1388141448280378,1145.805189174059,45.49908781209373,1.4385341141702703
25,韓國瑜,404.110920437133,76.4910758960943,1.547606992891844,667.2213665801228,22.422738150544653,1.3519854140935643
